"Subject","Length","Enjoy","Product","Environment"
72,49.91,8,30.9,"Office"
73,42.48,10,42.04,"Office"
74,46.82,6,30,"Home"
75,53.24,1,30,"Home"
76,56.82,10,54.01,"Office"
77,48.98,3,30,"Office"
78,46.84,10,59.88,"Office"
79,40.33,9,30,"Office"
80,36.03,9,32.2,"Office"
81,41.27,10,46.66,"Home"
82,58.07,6,30,"Office"
83,54.12,2,30,"Home"
84,46,7,30,"Office"
85,44.32,6,30,"Office"
86,44.37,10,40.7,"Home"
87,55.97,10,45.61,"Home"
88,45.54,1,30,"Office"
89,58.09,6,34.14,"Home"
90,53.1,8,30,"Office"
91,58.44,9,36.83,"Home"
92,40.65,4,30,"Office"
93,47.87,9,53.86,"Office"
94,40.59,9,30,"Home"
95,52.68,7,30.59,"Office"
96,48.78,7,30.2,"Office"
97,45.49,10,40.98,"Office"
98,59.72,10,75.52,"Office"
99,49.68,10,56.05,"Office"
100,55.96,6,30,"Office"
101,54.2,2,30,"Home"
102,41.44,6,30,"Home"
103,42.76,8,38.18,"Home"
104,48.18,6,30,"Office"
105,38.54,6,30,"Office"
106,52.52,1,30,"Office"
107,37.31,4,30,"Office"
108,60,3,30,"Home"
109,43.7,8,30,"Office"
110,60,9,44.49,"Home"
111,44.42,10,30,"Office"
112,39.84,6,30,"Office"
113,48.01,10,42.29,"Home"
114,48.03,5,30,"Office"
115,34.04,1,30,"Office"
116,56.43,9,57.69,"Office"
117,38.63,5,30,"Home"
118,50.55,4,30,"Home"
119,51.85,4,30,"Home"
120,48.93,10,40.32,"Office"
121,46.83,10,30,"Home"
122,49.42,10,57.76,"Home"
123,39.05,6,30,"Home"
124,41.22,2,30,"Home"
125,38.68,8,30,"Office"
126,60,10,48.72,"Office"
127,60,10,30,"Home"
128,49.95,9,35.42,"Office"
129,37.7,8,30,"Home"
130,47.77,4,30,"Home"
131,60,9,41.23,"Home"
132,43.9,7,30,"Home"
133,54.33,8,30,"Office"
134,39.82,6,30,"Home"
135,53.45,3,30,"Office"
136,39.97,5,30,"Office"
137,37.71,10,41.59,"Office"
138,39.96,7,30,"Home"
139,40.68,7,30,"Home"
140,40.34,6,30,"Office"
141,53.87,10,61,"Office"
142,48.36,7,30,"Office"
143,45.15,8,30,"Home"
144,38.9,8,30,"Office"
145,39.48,3,30,"Office"
146,41.51,7,30,"Office"
147,38.63,10,41.48,"Office"
148,44.13,9,39.24,"Office"
149,51.66,1,30,"Office"
150,38.13,8,31.53,"Office"
151,59.84,10,57.25,"Home"
152,37.06,7,30,"Office"
153,47.01,10,51.44,"Office"
154,60,7,46.26,"Office"
155,55.09,3,30,"Home"
156,45.73,10,36.36,"Home"
157,40.71,8,30,"Home"
158,52.57,9,37.14,"Office"
159,47.7,10,32.63,"Home"
160,44.73,8,33.35,"Home"
161,50.4,1,30,"Office"
162,43.8,8,30,"Home"
163,60,1,30,"Home"
164,60,5,30,"Home"
165,54.18,10,40,"Office"
166,53.64,1,30,"Home"
167,43.35,8,30,"Office"
168,55.05,5,30.2,"Home"
169,44.95,6,30,"Office"
170,39.54,10,30,"Office"
171,60,9,41.19,"Office"
172,40.19,10,31.55,"Home"
173,45.39,3,30,"Office"
174,42.76,4,30,"Office"
175,40.04,4,30,"Home"
176,52.71,7,30,"Home"
177,35.32,3,30,"Home"
178,46.11,4,30,"Office"
179,43.1,3,30,"Office"
180,36.41,10,43.25,"Home"
181,47.22,9,30,"Home"
182,44.27,10,35.85,"Home"
183,42.95,10,36.19,"Office"
184,55.84,7,30,"Office"
185,52.16,10,47.74,"Office"
186,47.06,10,30,"Home"
187,49.08,10,58.35,"Office"
188,41.76,7,30,"Office"
189,46.15,3,30,"Home"
190,56.83,5,30,"Home"
191,47.66,1,30,"Home"
192,49.13,1,30,"Home"
193,60,6,32.15,"Home"
194,42.04,9,43.45,"Office"
195,55.67,7,41.35,"Home"
196,60,6,32.25,"Office"
197,39.08,1,30,"Office"
198,47.94,10,36.31,"Home"
199,44.61,9,50.71,"Home"
200,43.78,10,30,"Home"
201,39.24,1,30,"Home"
202,40.46,6,30,"Office"
203,58.2,10,57.8,"Office"
204,52.66,8,30,"Home"
205,54.15,10,42.15,"Office"
